SL,NAME OF RETAIL OUTLET,LOCATION,DISTRICT,STATE,BANK
352,KISSAN TRADERS KSK,"KISSAN TRADERS KSK vpo bhana PUNDRI RAJAND ROAD,PAI PAI KAITHAL",KAITHAL,Haryana,SBI
353,HARYANA KSK FILLING STATION,"HARYANA KSK FILLING STATION V PO BARSAT,V P O BARSAT PANIPAT BARSAT ROAD TEHGHARAUNDA",KARNAL,Haryana,SBI
354,MAA BIRA KSK,"MAA BIRA KSK VILLAGE RANKOLI,BHIWANI BHIWANI",BHIWANI,Haryana,SBI
355,N R FILLING STATION KSK,"VILLAGE BARSANA,HABRI-PUNDRI ROAD,KAITHAL,KAITHAL",KAITHAL,Haryana,SBI
356,SARTI DEVI KSK FILLING STATION,"SARTI DEVI KSK FILLING STATION JHARLI ROAD,JHARLI JHAJJAR",JHAJJAR,Haryana,SBI
357,SHRI SINGHRA DEV FILLING STATION KSK,"VILLAGE MOHMUDPUR MAZRA MAIN BADLI JHAJJAR ROAD,JHAJJAR JHAJJAR",JHAJJAR,Haryana,SBI
358,SHIRDI SAI KISAN SEVA KENDRA,"SHIRDI SAI KISAN SEVA KENDRA VPO RATERA,DISTT BHIWANI BHIWANI",BHIWANI,Haryana,SBI
359,SHRI SHYAM FILLING STATION,"VILL NOORPUR TEH TAURU,TAURU TAURU",MEWAT,Haryana,SBI
360,MANSA DEVI KISAN SEWA KENDER,"MANSA DEVI KISAN SEWA KENDER VILL GANAULI P OFFICE,TEH NARAINGARH NARAINGARH",AMBALA,Haryana,SBI
361,VINOD GIGORANI KSK,"VILL KARAMSHANA TOPARIA ROAD,ELLENABAD",SIRSA,Haryana,SBI
362,SUNDRAM KISAN SEWA KENDRA,"SUNDRAM KISAN SEWA KENDRA VILL IKABALPUR NANGLI,KANWI BEHROR ROAD NARNAUL",MAHENDRAGARH,Haryana,SBI
363,SONAM FILLING STATION,"SONAM FILLING STATION VILLAGE KESHOPUR TEHSIL BAWA,NEAR ANANDPUR REWARI",REWARI,Haryana,SBI
364,M S PADMAGAT KISAN SEWA KENDRA,"V P O AMARPUR TEHSIL PALWAL,FARIDABAD PALWAL",PALWAL,Haryana,SBI
365,OM LAXMI KISSAN SEWA KENDER,"VPO-DHANOURI,TEHSIL -NARWANA,DISTT-JIND,NARWANA",JIND,Haryana,SBI
366,NIKKO DEVI KISAN SEWA KENDRA,"JAMAL ROAD,VPO-MADHOSINGHANA,DISTT SIRSA,SIRSA",SIRSA,Haryana,SBI
367,UJJWAL KISAN SEWA KENDRA,"UJJWAL KISSAN SEWA KENDRA BERI ROAD,VILL MATTAN BAHADURGARH",JHAJJAR,Haryana,SBI
368,NAKSHTRA KISAN SEWA KENDRA,"NAKSHTRA KISAN SEWA KENDRA VPO KHUDANA,NAKSHTRA KISAN SEWA KENDRAMOHINDERGARH",MAHENDRAGARH,Haryana,SBI
369,KOTLA KISAN SEWA KENDRA,"kotla kisan sewa kendra vpo sadhaura yamunanagar,YAMUNANAGAR",YAMUNANAGAR,Haryana,SBI
370,NAMO FILLING STATION KSK,"NAMO FILLING STATION KSK VILL MANAKTABRA,ON KOTBILLA RAIPUR RANI ROAD RAIPURRANI",PANCHKULA,Haryana,SBI
371,KAUSHAL KISSAN SEWA KENDRA,"VILL GHARWAN PO KOTLI SUB TEH KOTLI CITY MANDI BHARGAON,MANDI",MANDI,Himachal Pradesh,SBI
372,THE HP STATE CO OP M AND C FED LTD HIMFED,"NEAR JOT CHOWK CHOWARI CHAMBA,CHOWARI",CHAMBA,Himachal Pradesh,SBI
373,MAHADEV KISAN SEVA KENDRA,"MAHADEV KSK SANGHNAI SANGHNAI TEH AMB NEAR GOVT HIGH SCHOOL UNA,SANGHNAI",UNA,Himachal Pradesh,SBI
374,NANGRAN KISAN SEVA KENDRA,"NANGRAN KISAN SEVA KENDRA VPO NANGRAN,TEH AND DISTT UNA MEHATPUR",UNA,Himachal Pradesh,SBI
375,JAI BHAWANI KISAN SEWA KENDRA,"JAI BHAWANI KISAN SEWA KENDRA VPO DABHOTA TEHSIL NALAGARH DABHOTA,NALAGARH",SOLAN,Himachal Pradesh,SBI
376,M/S ARYAN IOC(KSK),"VPO Garoh, Tehsil Dharmshala, Distt Kangra,H.P",KANGRA,Himachal Pradesh,SBI
377,KHAIRIA KISSAN SEWA KENDRA,"SHIVNAGAR,PALAMPUR",KANGRA,Himachal Pradesh,SBI
378,GUPTA KISSAN SEVA KENDRA,"VILL KAKKAR P O CHANDRUHITEH BHORANJ,DISTT HAMIRPURBHORANJ",HAMIRPUR,Himachal Pradesh,SBI
379,SHIV SHAKTI FILLING STATION,"GORKHUWALA PAONTA SAHIB SIRMAUR dist SIRMAUR,PAONTA SAHIB",SIRMAUR,Himachal Pradesh,SBI
380,MS SHRI RAM PETRO,"LODHWAN TEH NURPUR,KANGRA H P TEH NURPUR",KANGRA,Himachal Pradesh,SBI
381,SHIVA KISAN SEWA KENDRA,"VILL BAIN ATTARIAN PO KANDRORI,TEHSIL INDORA DISTT KANGRA",KANGRA,Himachal Pradesh,SBI
382,GURU NANK DEV KISAN SEVA KENDRA,"KHASRA NO 58 VILL MOUJA DHARAMPUR THANA,BADDI BADDI",SOLAN,Himachal Pradesh,SBI
383,GURU KRIP FILLING STATION,"IOCL GAJANSOO,MARH JAMMU",JAMMU,Jammu & Kashmir,SBI
385,FATEH FILLING STATION,"FATEH FILLING STATION KOTLI ARJUN SINGH,R S PURA R S PURA",JAMMU,Jammu & Kashmir,SBI
386,MAGRAY FILLING STATION,"PULWAMA MAIN ROAD BANDZOO PULWAMA,PULWAMA",PULWAMA,Jammu & Kashmir,SBI
387,MAHALAXMI FILLING STAION,"RAILWAY ROAD,KATRA DISTT REASI",REASI,Jammu & Kashmir,SBI
388,V B FILLING STATION REHAIN SAMBA,"V B FILLING STATION REHAIN SAMBA,SAMBA",SAMBA,Jammu & Kashmir,SBI
389,GURU KRIPA FILLING STATION,"IOCL GAJANSOO,MARH JAMMU",JAMMU,Jammu & Kashmir,SBI
390,RAJKUMAR KSK,"RAJKUMAR KSK MAIN ROAD GAGIAN,MAIN ROAD GAGIAN JAMMU",JAMMU,Jammu & Kashmir,SBI
391,RAUNAK FILLING STATION,"RAUNAK FILLING STATION MALIK PUR TALLI MORH,MALIK PUR TALLI MORH JAMMU",JAMMU,Jammu & Kashmir,SBI
392,KISAN SEVA KENDRA,"KISAN SEVA KENDRA NEAR PEER BABA,NEAR PEER BABA BISHNAH",JAMMU,Jammu & Kashmir,SBI
393,MAHA LAKSHMI FILLING STATION,"RAILWAY ROAD,KATRA DISTT REASI",REASI,Jammu & Kashmir,SBI
394,BHATT FILLING STATION,"BHATT FILLING STATION CHAK KTROO POONCH,CHAK KTROO POONCH POONCH",POONCH,Jammu & Kashmir,SBI
395,DHARAMPAL FILLING STATION,"DHARAMPAL FILLING STATION PALLANWALA PALLANWALA AK,PALLANWALA AKHNOOR",JAMMU,Jammu & Kashmir,SBI
396,JAI CHANDI KSK FILLING STATION,"JAI CHANDI KSK FILLING STATION VILLAGE KULDABI,VILLAGE KULDABI SUNDERBANI",RAJOURI,Jammu & Kashmir,SBI
397,ANMOL FUEL STATION,"MAIN GTATE ,GIDDI ,HAZARIBAGH,HAZARIBAGH",HAZARIBAGH,Jharkhand,SBI
398,S.R.FUELS,"At-Nuia P.O.-Gua,GUA, West Singhbhum",WEST SINGHBHUM,Jharkhand,SBI
399,Pakuria Kisan Sewa Kendra,"Vill PO -Pakuria Dist Pakur, P.O. Pakuria, Jilla-Pakur,Near Sidhu Kanu Maheshpur Road,Pakur",PAKAUR,Jharkhand,SBI
400,HIRAMANI FUELS,"PO-PS-RATU,RANCHI",RANCHI,Jharkhand,SBI
401,BINOD KISAN SEWA KENDRA,"AT-JAIKAN POST-DUDRA, PS GAMAHARIA,JAMSHEDPUR",WEST SINGHBHUM,Jharkhand,SBI
402,SHREE GANESH FUELS,"AT+P.O- BHANDARIDAH,,BOKARO",BOKARO,Jharkhand,SBI
403,SHAKAMBHARI SERVICE STATION,"RATARI DUGDA, CHANDRAPURA,BOKARO",BOKARO,Jharkhand,SBI
404,ANKIT FUELS,"BHANDHDIH, CHAS P.O- ALKUSA, ELECTROSTEEL,BOKARO",BOKARO,Jharkhand,SBI
405,GOPE BANDHU KISAN SEVA KENDRA,"JANTA MARKET CHHOTAGOVINDPUR,JAMSHEDPUR",EAST SINGHBHUM,Jharkhand,SBI
406,KRISHNA SHIVA FUEL SERVICE,"manoharpur,MANOHARPUR",WEST SINGHBHUM,Jharkhand,SBI
407,SHRISTIK S K FUEL,"BODHODIH,JAMTARA",JAMTARA,Jharkhand,SBI
408,BABA KARNESWAR SEVA KENDRA,"THANA NO 652 PLOT NO 1863, JB NO 154/3 MOUZA - KARON,DEOGHAR",DEOGARH,Jharkhand,SBI
409,SURENDRA FUELS,"KHATA NO 54 PLOT NO 1155 VILL POTKA,JAMSHEDPUR",EAST SINGHBHUM,Jharkhand,SBI
410,BALIAPUR FILLING STATION,"DUDIA ROAD, BALIAPUR,DHANBAD",DHANBAD,Jharkhand,SBI
411,SUPER SALES,"MAIN ROAD ,MAHUADANR DIST LATEHAR,MAHUADANR,LATEHAR",LATEHAR,Jharkhand,SBI
412,SASHWAT FUELS,"FRONT OFF RANG OFFICE MANDRAM SARIA,GIRIDIH",GIRIDIH,Jharkhand,SBI
414,POONAM FULES,"DHURKI DHURKI,DHURKI DHURKI",GARHWA,Jharkhand,SBI
415,SARVODAYA FUELS,"BHALMARA, NAWADIH,BOKARO",BOKARO,Jharkhand,SBI
416,SUPER SALES,"MAIN ROAD ,MAHUADANR DIST LATEHAR,MAHUADANR,LATEHAR",LATEHAR,Jharkhand,SBI
417,PUMMY FUEL CENTRE KSK,"RATARI HIRAK ROAD AT PO DUGDHA,BOKARO BOKARO",BOKARO,Jharkhand,SBI
418,KURDEG FUEL CENTRE,"AT PARKALA PS KURDEG,SIMDEGA",SIMDEGA,Jharkhand,SBI
419,MGS KISAN SEVA KENDRA,"IRRAGAMPALLI,CHINTAMANI",CHIKKABALLAPURA,Karnataka,SBI
420,OM SAI PETROLEUM,"IOCL DEALER AT TOWN CHITGUPPA HUMNABAD TALUK ,BIDAR,KA",BIDAR,Karnataka,SBI
421,GURU SERVICE STATION,"GUNDULPET ROAD,KFSC GODOWN MUDLUPUR,CHAMARAJANAGAR","CHAMARAJANAGAR",Karnataka,SBI
422,LAGHUMAMMA AGENCY,"Laghumamma Agency Sy No 95, Mandoor Post Via Virgonagar, Bidarahalli Hobli, BangaloreEast,BANGALORE",BANGALORE RURAL,Karnataka,SBI
423,SHRI KANAKADHARA PETROLEUM,"11 f, opp pwd ib, kakol road,,BYADGI",HAVERI,Karnataka,SBI
424,LAKSHMI SERVICE STATION,"ASST NO 1275/1 MAIN ROAD, HULLAHALLY,NANJANGUD",MANDYA,Karnataka,SBI
425,SHREE ANKANATESHWARA FUEL SERVICE STATION,"T BELLIKERE KOPPA, MADDUR ROAD, SOPPA HOBALI, MADDUR TALUK, MANDYA,MADDUR",MANDYA,Karnataka,SBI
426,MAHADESHWARA ENTERPRISES,"81/3 T NARASIPURA MAIN ROAD, MEGALAPURA VILLAGE MYSORE,MYSORE",MYSORE,Karnataka,SBI
427,SANYAM PETROLEUMS,"s no 3331, opp new bus stand, ap- sadalga,,Chikodi",SADALGA,Karnataka,SBI
428,APEX PETRO PARK,"APEX PETRO PARK, MALUR ROAD,KOLAR",KOLAR,Karnataka,SBI
429,KAVITAL SERVICE STATION,"SURVEY NO 1005B2 EMMIGANUR,BELLARY",EMMIGANUR,Karnataka,SBI
430,KRUTHI AUTO SERVICES,"KRUTHI AUTO SERVICES IOCL PAJEER NEAR MUDIPU BANTWAL,BANTWAL",DAKSHIN KANNAD,Karnataka,SBI
431,NANDI FILLING STATION,"SY.NO649. KAMPLI ROAD,KURUGOD, BELLARY",BELLARY,Karnataka,SBI
432,SRI DURGAMBIKA KISAN SEVE KENDRA,"SAGARPET CIRCAL, PUNYASTHAL,DAVANAGER",SAGARPETE,Karnataka,SBI
433,SRI BALAJI FILLING STATION,"SRI BALAJI FILLING STATION JALIHAL CAMP,GANDHINAGAR SINDHANUR",RAICHUR,Karnataka,SBI
434,MAULI PETROLEUMS,"DESUR NANDIHALLI ROAD,BELGAUM",BELGAUM,Karnataka,SBI
435,PREM GANGA PETROLEUM,"TALUK MUTNAL,BELGAUM",BELGAUM,Karnataka,SBI
436,SHIVAGANGA PETROLEUMS,"RS NO 224/2 GOKAK ROAD AT POST SHINDIHATTI HIDKAL,BELGAUM",BELGAUM,Karnataka,SBI
437,AHILYA KISAN SEVA KENDRA,"VPC NO 467 NEAR GANDHI CHOWK KAGAWAD ROAD SHIRAGUPPI,BELGAUM",BELGAUM,Karnataka,SBI
438,PARSHWA PETROLEUM,"SY NO 162/1 POST NASALAPUR TAL RAIBAG,BELGAUM",BELGAUM,Karnataka,SBI
439,DHEKOLKAR TRADERS,"208 KALMESHWAR GALLI BELGUNDI,BELGAUM",BELGAUM,Karnataka,SBI
440,PANUDRANG KISAN SEVA KENDRA,"gpc no 1442 nagarmunolli at post nagarmunoli tal chikodi,CHIKODI",BELGAUM,Karnataka,SBI
441,SHREE BHAGYALAXMI KISAN SEVA KENDRA,"satti road, athani,ATHANI",BELGAUM,Karnataka,SBI
442,SHRI SHIVABODHARANG KISAN SEVA KENDRA,"424 mudalgi tal gokak,GOKAK",BELGAUM,Karnataka,SBI
443,SHRI PARMESHWARI PETROLEUM,"mallapur p gghataprabha,GHATAPRABHA",BELGAUM,Karnataka,SBI
444,JAI ANJANAYA KISAN SEVA KENDRA,"427 HIREKOPPA KS TAL RAMDURGA,RAMDURGA",BELGAUM,Karnataka,SBI
445,RAMSHETTY KOLKUNDI PETROLEUM,"IOCL DEALEAR KALGI MAIN ROAD,KALGI GULBARGA",GULBARGA,Karnataka,SBI
446,MALLIKARJUN KISSAN SEVA KENDRA,"MALLIKARJUN KISSAN SEVA KENDRA BAGALUR,BAGALUR",BIJAPUR,Karnataka,SBI
447,Shri shirahatti fakeereshwar petroleum,"shri shirahatti fakeereshwar petroleum shirahatti,shirahatti gadag",GADAG,Karnataka,SBI
448,JATHAN PETRO SERVICES,"JATHAN PETRO IOC PETROLPUMP HAMPANKATTE,KEMMANNU SANTHEKATTE",UDUPI,Karnataka,SBI
449,NARAYANI SERVICE STATION,"80 BADAGUBETTU ALEVOOR ROAD,SHANTHINAGAR MANIPAL",UDUPI,Karnataka,SBI
450,NIREEKSHA KISAN SEVA KENDRA,"NIREEKSHA KISAN SEVA KENDRA SY NO 637B BOMMAGATTA,CHORNUR SANDUR TALUK SANDUR",BELLARY,Karnataka,SBI
451,KARNATAKA SERVICE STATION,"KARNATAKA SERVICE STATION DONABAGATTA VILLAGE,DONABAGATTA VILLAGE BADRAVATHI Tq",SHIMOGA,Karnataka,SBI
453,RAJRAJESWARI PETROLEUM,"INDIAN OIL DEALERS MULGUND VILLAGE,MULGUND VILLAGE GADAG",GADAG,Karnataka,SBI
454,KURKAL FILLING STATION,"IOC KSK DEALER SUBHASH NAGAR,VILLAGE KURKAL POST MANCHAKAL UDUPI",UDUPI,Karnataka,SBI
455,GOMTESH PETROLEUMS,"SNO 118/1 POST HEBBAL,SANKESHWAR",BELGAUM,Karnataka,SBI
456,NEELAPPANAVAR KISAN SEVA KENDRA,"NEELAPPANAVAR KISAN SEVA KENDRA IOC DEALER,THIMMAPUR GADAG",GADAG,Karnataka,SBI
457,AVE MARIA FUELS,"AVE MARIA FUELS OPPOSITE TO PERMUDE PANCHAYAT,PERMUDE POST MANGALORE",DAKSHIN KANNAD,Karnataka,SBI
458,SRI SIDDALINGESHWARA PETROLEUM,"SY NO.115/A, KOUTHALAM ROAD, HACCHOLI,Haccholi",BELLARY,Karnataka,SBI
459,SHRI ANJANEYA KISAN SEVA KENDRA,"THUTCHAGHATTA , BELEVENUR POST,DAVANGERE",DAVANGERE,Karnataka,SBI
460,VISHWABANDHU PETROLEUMS,"NO 1251/615 DAVANGERE JAGALUR ROAD , YELEBETTUR,DAVANGERE",DAVANGERE,Karnataka,SBI
461,SRI KALLESHWARA PETROLEUM,"NO 79 NERLIGE POST, GANGANAKATTE ,CROSS NEAR SULTANEPURA,DAVANGERE",DAVANGERE,Karnataka,SBI
462,SRI RAMANJANEYA SERVICE STATION,"SRI RAMANJANEYA SERVICE STATION NITTUR ROAD,IOCL PETROL PUMP KUMBALURMALEBENNUR",DAVANGERE,Karnataka,SBI
463,PARAMANAND PERTROLEUM KISAN SEVA KINDRA,"UKKALI TQ: Basavana Bagewadi,Dist: Bijapur,Ukkali, Bijapur",BIJAPUR,Karnataka,SBI
464,MKSA PETROLEUM,"MKSA Petroleum Service, INDIAN OIL DEALERSHIP, Hukunda , Uyyamaballi Hobli,Kanakpaura,KANKAPURA RAMNAGAR",RAMANAGARA,Karnataka,SBI
465,M G S KISSAN SEVA KENDRA,"IRRAGAMPALLI,CHINTAMANI",CHIKKABALLAPURA,Karnataka,SBI
466,LINGARADDI SERVICE STATION,"MS LINGARADDI SERVICESTATION HEBSUR,NEAR BUS STAND DHARWAD",DHARWAD,Karnataka,SBI
467,CHINNA REDDY ENTERPRISE,"CHINNA REDDY ENTERPRISE PAMPA MAHAKAVI ROAD,SIRA ROAD PAVAGADA",TUMKUR,Karnataka,SBI
468,SUDHANVA ENTERPRISES,"SUDHANVA ENTERPRISES DURGANAGAR,POST SHANKARAPURA VILLAGE KURKALU UDUPI",UDUPI,Karnataka,SBI
469,SRIRAMA KISSAN SEVA KENDRA,"SRI RAMA KISSAN SEVA KENDRA BANAHALLI VILLAGE,KAIWARA HOBLI KAIWARA MAIN ROADCHINTAMANI",CHIKKABALLAPURA,Karnataka,SBI
470,SHREENIDHI KISAN SEVA KENDRA,"SORATUR GADAG ROAD,SHIRAHATTI ADB",GADAG,Karnataka,SBI
471,MANOJ SERVICE STATION,"DEVALAPURA DEVANAGONTHI MAIN ROAD BANGALORE,MANOJ SERVICE STATION BANGALORE",BANGALORE RURAL,Karnataka,SBI
472,MANOJ SERVICE STATION,"DEVALAPURA DEVANAGONTHI MAIN ROAD BANGALORE,MANOJ SERVICE STATION BANGALORE",BANGALORE RURAL,Karnataka,SBI
473,SAI PETROLEUMS,"SAI PETROLEUMS NEAR VAIBHAV TALKIES MAIN ROAD,BANAHATTI",BAGALKOT,Karnataka,SBI
474,MGM PETROL STATION,"DIBBURAHALLI ROAD,,SIDLAGHATTA",CHIKKABALLAPURA,Karnataka,SBI
475,BEENA AUTO SERVICE,"BEENA AUTO SERVICE NEER GADDE,MURDESHWAR MURDESHWAR",UTTAR KANNAD,Karnataka,SBI
476,"SHREE LAKSHMI VENKATESHWARA FUELS ANDSERVICE","SHREE LAKSHMI VENKATESHWARA FUELS AND SERVICE HAVE,DASANKOPPA DASANKOPPA",UTTAR KANNAD,Karnataka,SBI
477,SREE MALLIKARJUNA SWAMY FUEL STATION,"40/11, D M KURKE ROAD,KALLUSADARAHALLI,ARSIKERE",HASSAN,Karnataka,SBI
478,YAJAMAN SERVICE STATION,"YAJAMAN SERVICE STATION INDIAN OIL KSK DEALER,GANGUR ARKALGUD HASSAN",HASSAN,Karnataka,SBI
479,SRI GURUSIDDAPPA KISAN SEVA KENDRA,"SRI GURUSIDDAPPA KISAN SEVA KENDRA JAVAGAL ROAD,NITTUR POST HASSAN",HASSAN,Karnataka,SBI
480,SHRI GURU SERVICE STATION,"INDIAN OIL DEALER HEGGUNJE,HEGGUNJE VILLAGE MANDARTHI",UDUPI,Karnataka,SBI
481,T S GANGAI PETROLEUM,"T S GANGAI PETROLEUM PLOT NO 3097 A,LAXMESHWAR ROAD BETADUR CROSS KUNDGOL",DHARWAD,Karnataka,SBI
482,SHRI KALIKA PETROLEUMS,"SY NO 2 3 SHIRSNGI TQ SAUNDATTI SAUNDATTI,TQ SAUNDATTI SAUNDATTI",BELGAUM,Karnataka,SBI
483,M.D.SERVICE STATION,"IOCL DEALER HOSAKERE MADHUGIRI,M D SERVICE STATION MADHUGIRI",TUMKUR,Karnataka,SBI
484,VIJENDRA PETROLEUM,"KYSAMBALLI VILLAGE BANGARPET,KOLAR",KOLAR,Karnataka,SBI
485,SWAMIGOWDA FUEL CENTRE,"SWAMY GOWDA FUEL CENTER HETHAGONDANAHALLI,JODI GUBBI CROSS HASSAN",HASSAN,Karnataka,SBI
486,R V OHILESHWARI KSK,"R V OHILESHWARI K S K ADUGURU,MADIHALLI HOBLI BELUR TALUK HASSAN",HASSAN,Karnataka,SBI
488,SOORYA FUELS,"BHAJANAMADOMMUKKU CHIRAKKARA,BHAJANAMADOMMUKKU KOLLAM",KOLLAM,Kerala,SBI
489,HILLWAY FUELS CENTRE,"NILAMEL ROAD KADAKKAL PO,KADAKKAL KOLLAM",KOLLAM,Kerala,SBI
490,REBIN FUELS,"KAITHAKKAD KULATHUPUZHA,KULATHUPUZHA KOLLAM",KOLLAM,Kerala,SBI
491,ROBIN PETROLEUM,"IOCL PETROL PUMP UDAYAPURAM PULICKAL KAVALA PO,KOTTAYAM",KOTTAYAM,Kerala,SBI
492,VILAYIL FUELS,"PP IX 631 B PANAVOOR,NEDUMANGAD THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
493,AMBA FUELS,"AMBA FUELS THIRUNALLOOR,THIRUNALLOOR CHERTHALA",ALAPPUZHA,Kerala,SBI
494,ADOOR PETROLEUM COMPANY,"V 55A ADOOR URDUR P O,VIA MULLARIYA KASSARGOD",KASARAGOD,Kerala,SBI
495,MAKEERYAM FUELS,"THAVALAPPARA KOLMOTTA NANICHERY POST,KOLMOTTA NANICHERY POST",KANNUR,Kerala,SBI
496,KOORIEL FUELS,"CHITTATUKARA P O,THRISSUR",THRISSUR,Kerala,SBI
497,KRISHNAN NAIR AND SONS FUELS,"KOMBARA NAD PO,ALUVA ERNAKULAM",ERNAKULAM,Kerala,SBI
498,GREEN VALLEY PETROLEUMS,"GREEN VALLEY PETROLEUMS IOC DEALER KOROME,THOMDERNAD MANANTHAVADY",WAYANAD,Kerala,SBI
499,HARISREE PETROLEUM,"HARISREE PETROLEUM VELLIPARAMBA PO,MEDICAL COLLEGE VIA CALICUT",KOZHIKODE,Kerala,SBI
500,POOLAKUNDAN PETROLEUM,"POOLAKUNDAN PETROLEUM PARAPPOOR,KUTTITHARA IRINGALLUR PO",MALAPPURAM,Kerala,SBI
501,NJALOOR FUELS,"NIJALOOR FUELS MEENMUTTY,EDAVETTY PO THODUPUZHA",IDUKKI,Kerala,SBI
502,MUNDUCHIRACKAL FUELS,"MUNDUCHIRACKAL FUELS ILLICKAL JUNCTION,KILIROOR NORTH PO KOTTAYAM",KOTTAYAM,Kerala,SBI
503,KARUNA FUELS,"KATTAKADA KALLIKKADU ROAD KATTAKADA,KATTAKADA THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
504,SDP FUELS,"KUTTICHAL KUTTICHAL P O,KUTTICHAL KATTAKADA","THIRUVANANTHAPURAM",Kerala,SBI
505,SASTHA PETROL PUMP,"SASTHA PETROL PUMP KURISSUMOOLA,PUTHUR P O THRISSUR",THRISSUR,Kerala,SBI
506,ANUPAMA FUELS,"ANUPAMA FUELS KARAKKAD P O,KARAKKAD P O CHENGANNUR",KANNUR,Kerala,SBI
507,ANUPAMA FUELS,"ANUPAMA FUELS KARAKKAD P O,KARAKKAD P O CHENGANNUR",KANNUR,Kerala,SBI
508,ABEY FUELS,"GMS BUNGLOW GOVINDAMANGALAM,OORUTTUMBALAM PO THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
509,CHRIST FUELS,"CHRIST FUELS IOCL DEALER,CHAVADI NADA THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
510,ST MARYS RVM FUELS,"NEAR SBT NELLIMOODU,NELLIMOODU P O THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
511,SREE VINAYAKA FUELS,"SREE VINAYAKA FUELS KAMBANIMUKKU,VELLANADU THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
512,JAZEEL FUELS,"JAZEEL FUELS SREEKANDAPURAM ROAD,NADUVIL ALAKODE",KANNUR,Kerala,SBI
513,S R FUELS,"S R FUELS KATTANGAL,MANASSERY KOZHIKODE",KOZHIKODE,Kerala,SBI
514,MATHALATHIL FUELS,"NEAR KSRTC BUS DEPOT VITHURA,NEDUMANGAD NEDUMANGAD","THIRUVANANTHAPURAM",Kerala,SBI
515,PAUL FUELS,"KARIMUKAL KARIMUKAL P O,ERNAKULAM ERNAKULAM",ERNAKULAM,Kerala,SBI
516,CHITTILAPPILLY FUELS,"CHITTILAPPILLY FUELS PARAPPUR P O,PARAPPUR P O THRISSUR",THRISSUR,Kerala,SBI
517,SREERAG FILLING STATION,"SREERAG FILLING STATION 8 2 B KONOTT PO,PARAMBIL BAZAR KOZHIKODE",KOZHIKODE,Kerala,SBI
518,MANNATH PETROLEUM,"MANNATH PETROLEUM NARIKUNI,NARIKUNI KOZHIKODE",KOZHIKODE,Kerala,SBI
519,ASWATHY FILLING STATION,"IOC PETOL PUMP KODUMON P O,PATHANAMTHITTA ALLEPPEY",PATHANANTHITTA,Kerala,SBI
520,KRISHNA FUELS,"KRISHNA FUELS THATTAYIL P O,ADOOR PATHANAMTHITTA",PATHANANTHITTA,Kerala,SBI
521,KALLANKI FUELS,"INDIAN OIL DEALERS BALUSSERY ROAD,NANMINDA CALICUT",KOZHIKODE,Kerala,SBI
523,P K B FUELS,"KP VIII 1171 INDIAN OIL PETROL PUMP,KUDAPPANAKUNNU THIRUVANANTHAPURAM","THIRUVANANTHAPURAM",Kerala,SBI
524,KHALOORIKA PETROLEUM,"KHALOORIKA PETROLEUM MUTHUR,TIRUR POST MALAPPURAM",MALAPPURAM,Kerala,SBI
525,KHALOORIKA PETROLEUM,"KHALOORIKA PETROLEUM MUTHUR,TIRUR POST MALAPPURAM",MALAPPURAM,Kerala,SBI
526,MATHA FUELS,"MATHA FUELS ARINALLOOR SOUTH P O,PADAPPANAL THEVALAKKARA KOLLAM",KOLLAM,Kerala,SBI
527,K V VARGHESE AND SONS,"K V VARGHESE AND SONS OPP STATE BANK OF INDIA,NELLAD NELLAD",ERNAKULAM,Kerala,SBI
528,MEERA PETROLEUM,"BHASKARA PULAPETTA,PALAKKAD PULAPETTA",PALAKKAD,Kerala,SBI
529,SHRIYA KISAN SEVA KENDRA,"CHAND, DIST CHHINDWARA,CHHINDWARA",CHHINDWARE,Madhya Pradesh,SBI
530,CHHIJWAR KISAN SEWA KENDRA,"04/156 GRAM-CHIJJWAR PO MADHOPUR JP NAGAR REWA,REWA",REWA,Madhya Pradesh,SBI
531,MAA GULAB KISHAN SEVA KENDRA,"VILLAGE AND POST SARWANIYA MAHARAJ ,JAWAD ,NEEMUCH,MP",BHOPAL,Madhya Pradesh,SBI
532,MS SETH BHAGWATILAL KISAN SEVA KENDRA,"HATOD DEP[ALPUR ROAD HATOD,HATOD",INDORE,Madhya Pradesh,SBI
533,KISAN SEWA KENDRA BIJAWAR,"Part No.2, Bijawar Dist, Near BUS Stand,CHHATARPUR",CHHATARPUR,Madhya Pradesh,SBI
534,SHUBHAM KISAN SEWA KENDRA,"VILLAGE BHAGATPURI, NEAR CHAMBAL RIVER, TEHSIL NAGDA,DISTT UJJAIN,UJJAIN",UJJAIN,Madhya Pradesh,SBI
535,S. V. ENTERPRISES,"TILWARA SEONITOLA CHARGAWAN ROAD DIST JABALPUR,JABALPUR",JABALPUR,Madhya Pradesh,SBI
